DISTRICT,DD000A001218R,DD000A001318R,DD000A001S18R,DD200A001218R,DD200A001318R,DD200A001S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R,DNC00A001218R,DNC00A001318R,DNC00A001S18R,DNM00A001218R,DNM00A001318R,DNM00A001S18R,DNS00A001218R,DNS00A001318R,DNS00A001S18R
'001902,-1,-1,-1,45,17,81,40,20,80,.,.,.,51,21,80,50,18,73,38,14,73,56,23,84,36,17,72,.,.,.,-1,-1,-1,48,19,78,25,6,65,18,5,48,53,22,81,53,22,81,48,20,80,55,18,91
'001903,19,0,65,55,20,88,75,38,94,-1,-1,-1,52,22,81,18,2,52,44,15,77,58,24,85,52,27,83,.,.,.,18,0,73,47,20,78,27,7,65,22,8,49,54,22,82,53,22,82,51,22,80,49,20,88
'001904,39,11,73,35,16,79,93,40,100,.,.,.,53,24,81,32,11,66,41,16,73,55,26,82,53,16,80,100,67,100,25,7,61,50,22,80,25,7,61,29,14,48,55,26,83,54,25,81,50,23,81,41,15,90
'001906,38,8,92,83,17,100,.,.,.,.,.,.,54,22,86,44,16,66,44,15,81,60,27,89,39,15,78,.,.,.,38,8,92,47,16,81,27,6,71,26,11,62,57,24,88,55,24,84,52,18,88,29,14,57
'001907,30,10,62,38,20,71,73,46,90,-1,-1,-1,38,15,70,25,8,61,32,10,65,40,16,72,38,13,69,80,20,100,20,6,54,36,14,68,21,5,58,21,6,42,51,23,79,38,14,71,38,15,67,23,11,59
'001908,17,3,51,35,8,72,43,29,71,.,.,.,36,12,68,25,7,54,32,11,63,39,13,72,31,9,64,17,0,46,5,0,35,33,11,64,20,5,54,14,5,32,42,15,74,38,12,69,30,11,63,38,11,60
'001909,33,11,44,94,28,94,17,0,17,.,.,.,49,17,83,60,27,87,37,11,78,48,16,86,58,32,90,-1,-1,-1,33,11,44,50,18,80,28,3,71,19,2,52,47,15,83,48,15,85,52,19,81,67,22,100
'002901,31,10,60,55,29,87,59,35,88,-1,-1,-1,41,17,73,44,8,74,29,9,62,43,17,74,36,13,69,33,12,76,17,4,43,39,17,71,19,4,56,14,4,36,53,25,82,41,17,73,40,17,70,30,11,74
'003801,21,5,59,47,28,66,100,83,100,-1,-1,-1,51,22,80,34,11,67,42,15,73,51,22,82,37,13,74,.,.,.,21,5,60,50,23,77,18,4,56,14,7,33,61,28,87,50,20,80,53,26,80,50,25,85
'003902,38,17,77,62,20,90,81,52,98,.,.,.,58,28,86,33,12,67,46,19,79,61,30,88,49,23,82,49,32,85,24,10,69,56,26,85,33,9,73,28,9,56,64,31,90,62,30,89,49,21,80,52,22,85
'003903,34,11,70,37,11,74,78,54,91,22,11,44,43,18,73,30,10,63,35,12,69,46,19,76,40,15,74,50,39,89,22,6,60,39,17,71,27,8,64,32,13,52,61,32,84,43,18,74,40,16,71,48,19,77
'003904,27,18,69,40,18,67,-1,-1,-1,-1,-1,-1,46,18,77,22,1,71,38,14,71,51,22,82,41,16,74,33,7,67,16,9,56,42,15,73,24,5,61,20,6,41,48,19,78,46,18,77,45,16,75,49,22,73
'003905,28,10,62,33,7,72,90,60,100,.,.,.,40,14,72,29,10,62,38,13,70,42,15,75,37,12,70,.,.,.,16,3,51,39,13,69,24,5,61,22,7,46,51,19,79,42,15,73,35,11,65,20,2,61
'003906,.,.,.,64,21,86,.,.,.,.,.,.,32,10,67,44,22,78,24,7,58,32,7,69,5,0,45,.,.,.,.,.,.,31,14,64,17,6,53,12,5,34,32,10,67,34,13,70,26,5,59,0,0,31
'003907,22,5,65,53,18,84,.,.,.,.,.,.,46,18,77,41,13,65,40,15,73,48,20,81,41,17,77,40,20,80,16,4,41,44,16,74,26,7,60,24,7,44,48,18,78,48,19,78,40,13,75,52,20,86
'004901,23,8,58,46,26,80,64,33,84,-1,-1,-1,44,18,73,37,11,66,44,18,73,46,20,77,35,12,67,40,13,67,13,4,48,41,17,70,44,18,73,29,9,46,50,23,78,44,19,73,42,17,73,41,13,70
'005901,36,14,64,59,33,85,-1,-1,-1,.,.,.,63,30,87,-1,-1,-1,50,19,82,65,29,90,46,21,80,62,15,85,18,9,55,62,30,84,32,9,70,14,5,42,66,31,88,66,33,87,58,23,88,54,15,92
'005902,33,0,83,26,19,55,-1,-1,-1,.,.,.,60,27,86,50,0,100,36,8,73,63,29,89,38,14,78,85,69,100,-1,-1,-1,58,25,84,33,5,70,14,7,37,63,28,87,60,26,87,60,28,84,34,13,79
'005904,36,12,68,-1,-1,-1,.,.,.,.,.,.,60,26,86,.,.,.,50,20,75,61,23,88,48,15,76,40,0,87,15,15,30,60,29,85,29,5,65,28,4,42,66,31,90,60,26,86,63,29,88,33,22,89
