DISTRICT,DD000A001222R,DD000A001322R,DD000A001S22R,DD200A001222R,DD200A001322R,DD200A001S22R,DD300A001222R,DD300A001322R,DD300A001S22R,DD400A001222R,DD400A001322R,DD400A001S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDB00A001222R,DDB00A001322R,DDB00A001S22R,DDE00A001222R,DDE00A001322R,DDE00A001S22R,DDF00A001222R,DDF00A001322R,DDF00A001S22R,DDH00A001222R,DDH00A001322R,DDH00A001S22R,DDI00A001222R,DDI00A001322R,DDI00A001S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDM00A001222R,DDM00A001322R,DDM00A001S22R,DDR00A001222R,DDR00A001322R,DDR00A001S22R,DDS00A001222R,DDS00A001322R,DDS00A001S22R,DDW00A001222R,DDW00A001322R,DDW00A001S22R,DISTNAME,DNC00A001222R,DNC00A001322R,DNC00A001S22R,DNM00A001222R,DNM00A001322R,DNM00A001S22R,DNS00A001222R,DNS00A001322R,DNS00A001S22R
"'001902",0,0,0,54,34,83,33,17,33,.,.,.,62,33,84,17,3,60,50,23,76,64,33,86,53,24,74,.,.,.,0,0,0,61,32,82,37,10,67,13,1,37,66,35,87,"CAYUGA ISD",66,35,86,53,25,79,50,20,90
"'001903",39,10,82,46,23,77,-1,-1,-1,.,.,.,59,30,85,22,8,46,42,19,77,61,30,88,56,25,85,100,100,100,37,5,78,56,31,83,25,7,63,17,8,45,61,32,88,"ELKHART ISD",59,30,85,57,32,85,50,19,83
"'001904",40,20,65,58,28,75,53,16,84,.,.,.,57,25,83,38,6,74,49,17,77,59,26,85,46,19,75,20,20,80,32,11,60,56,24,80,33,10,67,22,6,50,62,28,85,"FRANKSTON ISD",58,25,83,56,24,82,70,20,100
"'001906",58,8,83,-1,-1,-1,-1,-1,-1,.,.,.,64,27,90,48,19,88,53,17,86,63,27,90,69,26,91,-1,-1,-1,58,8,83,64,28,89,41,9,80,23,9,60,66,29,89,"NECHES ISD",68,29,92,57,24,85,-1,-1,-1
"'001907",35,14,67,44,18,74,77,44,85,-1,-1,-1,46,20,74,33,11,64,40,16,70,46,21,76,44,19,73,50,17,75,30,12,63,46,20,72,30,9,63,22,6,43,60,29,83,"PALESTINE ISD",46,20,73,46,20,75,52,20,85
"'001908",20,7,51,38,13,62,100,88,100,-1,-1,-1,40,16,69,26,11,56,34,14,65,42,16,71,36,12,69,.,.,.,20,7,51,38,16,66,26,7,57,18,6,37,48,21,75,"WESTWOOD ISD",40,16,70,39,17,65,30,5,60
"'001909",71,29,100,50,6,88,.,.,.,.,.,.,55,25,86,-1,-1,-1,45,17,81,58,26,90,57,20,87,.,.,.,-1,-1,-1,52,23,81,34,8,75,21,1,58,55,26,86,"SLOCUM ISD",55,25,86,55,24,88,41,12,76
"'002901",30,10,60,58,31,85,87,67,100,.,.,.,47,21,76,41,13,71,36,14,67,48,22,77,42,17,72,28,6,83,23,6,54,47,21,75,25,8,60,19,7,43,58,29,84,"ANDREWS ISD",49,22,77,42,20,70,54,24,83
"'003801",27,11,66,48,13,74,73,53,93,-1,-1,-1,56,30,82,38,14,68,48,23,77,57,29,82,50,24,81,-1,-1,-1,25,9,64,55,30,81,32,9,67,21,6,48,67,40,88,"PINEYWOODS COMMUNITY ACADEMY",56,28,82,58,34,80,78,44,89
"'003902",45,18,74,50,29,83,82,56,97,-1,-1,-1,60,31,86,37,14,71,46,19,78,61,32,87,53,24,81,8,0,62,37,13,69,60,30,85,35,11,71,23,9,49,66,35,89,"HUDSON ISD",62,32,87,53,25,82,52,26,88
"'003903",26,10,57,43,23,75,81,57,92,-1,-1,-1,43,20,69,31,12,58,39,16,66,45,21,71,41,17,69,63,50,88,26,10,57,42,19,67,28,9,58,24,10,38,63,36,82,"LUFKIN ISD",45,21,70,37,16,63,48,27,73
"'003904",24,5,63,44,19,79,17,0,67,-1,-1,-1,47,21,77,36,14,75,40,17,72,50,23,79,47,21,79,40,0,80,24,5,63,45,19,76,24,6,61,20,7,44,48,21,77,"HUNTINGTON ISD",49,22,78,43,18,76,32,14,71
