DISTRICT,DISTNAME,DDA00A001S24R,DDA00A001224R,DDA00A001324R,DDB00A001S24R,DDB00A001224R,DDB00A001324R,DDW00A001S24R,DDW00A001224R,DDW00A001324R,DDH00A001S24R,DDH00A001224R,DDH00A001324R,DDI00A001S24R,DDI00A001224R,DDI00A001324R,DD200A001S24R,DD200A001224R,DD200A001324R,DD300A001S24R,DD300A001224R,DD300A001324R,DD400A001S24R,DD400A001224R,DD400A001324R,DDM00A001S24R,DDM00A001224R,DDM00A001324R,DDF00A001S24R,DDF00A001224R,DDF00A001324R,DDS00A001S24R,DDS00A001224R,DDS00A001324R,DDE00A001S24R,DDE00A001224R,DDE00A001324R,DDR00A001S24R,DDR00A001224R,DDR00A001324R,DDL00A001S24R,DDL00A001224R,DDL00A001324R,DD000A001S24R,DD000A001224R,DD000A001324R,DNS00A001S24R,DNS00A001224R,DNS00A001324R,DNC00A001S24R,DNC00A001224R,DNC00A001324R,DNM00A001S24R,DNM00A001224R,DNM00A001324R
001902,CAYUGA ISD,81,59,21,81,51,9,82,61,22,84,54,21,.,.,.,70,41,16,-1,-1,-1,.,.,.,82,58,21,81,59,20,39,17,4,75,48,13,61,31,6,67,17,0,67,17,0,70,35,25,84,63,24,74,48,14
001903,ELKHART ISD,79,50,18,55,29,8,81,53,18,76,43,15,-1,-1,-1,79,46,21,-1,-1,-1,.,.,.,77,47,16,82,53,20,43,19,8,73,40,12,59,24,4,77,32,8,72,30,8,81,41,12,80,51,17,77,47,18
001904,FRANKSTON ISD,83,58,20,75,46,16,85,60,21,80,49,12,100,67,17,85,54,20,93,87,33,.,.,.,82,59,20,85,56,19,55,20,5,79,50,14,68,34,5,66,44,8,69,48,15,81,59,31,84,59,21,81,54,17
001906,NECHES ISD,83,59,21,81,35,8,82,58,21,95,78,32,-1,-1,-1,70,30,10,-1,-1,-1,.,.,.,84,59,22,83,59,21,61,16,0,82,54,19,69,33,7,100,85,31,100,85,31,76,65,24,88,63,23,74,51,17
001907,PALESTINE ISD,73,43,13,61,31,9,80,54,20,75,43,11,100,63,0,76,54,20,78,61,17,.,.,.,71,42,13,75,45,12,38,17,3,70,39,10,62,28,5,71,35,7,71,35,7,80,49,15,73,43,13,70,45,13
001908,WESTWOOD ISD,61,33,9,52,25,4,66,40,12,60,27,6,-1,-1,-1,62,34,12,86,57,29,.,.,.,61,33,9,62,33,9,31,12,2,57,29,7,49,19,2,51,21,2,51,21,2,60,30,19,64,35,10,57,28,7
001909,SLOCUM ISD,83,60,20,.,.,.,84,60,21,73,50,11,.,.,.,100,83,0,-1,-1,-1,.,.,.,81,58,21,85,61,19,42,22,4,87,57,16,69,49,10,57,43,14,57,43,14,77,62,15,84,61,21,81,55,18
002901,ANDREWS ISD,75,45,15,59,31,3,83,58,24,72,41,11,67,42,17,80,55,23,100,83,38,.,.,.,76,45,15,75,46,15,45,16,3,67,35,9,63,28,5,64,30,6,66,33,8,79,46,15,76,46,15,71,44,14
003801,PINEYWOODS COMMUNITY ACADEMY,79,54,22,65,36,14,86,64,29,74,46,14,100,100,55,77,48,15,85,70,45,-1,-1,-1,78,53,21,80,54,23,49,22,3,73,47,15,61,31,7,54,23,6,56,26,8,77,47,21,81,58,24,75,45,17
003902,HUDSON ISD,85,61,25,71,40,8,89,68,30,81,51,20,81,50,13,82,54,19,97,84,49,60,60,60,85,60,26,86,62,25,54,23,6,79,50,17,74,42,11,73,40,14,74,42,15,94,65,29,86,63,26,82,57,22
003903,LUFKIN ISD,68,41,16,57,28,8,83,63,30,67,38,13,67,17,17,66,40,14,92,71,45,43,14,0,66,40,15,70,42,16,41,20,6,64,35,12,58,27,8,60,29,8,62,31,10,74,47,18,69,42,16,64,38,14
003904,HUNTINGTON ISD,78,48,16,70,43,13,79,48,16,80,53,16,57,14,0,75,43,10,-1,-1,-1,-1,-1,-1,77,49,16,80,48,16,50,21,3,74,42,12,63,24,3,66,34,0,66,34,0,69,36,13,79,48,15,78,50,18
003905,DIBOLL ISD,76,42,11,64,29,7,83,52,16,75,39,9,.,.,.,63,30,4,100,90,50,.,.,.,77,42,10,75,42,12,48,14,2,72,36,8,66,26,3,66,21,2,70,29,6,84,47,7,77,42,11,74,40,12
003906,ZAVALLA ISD,66,34,9,-1,-1,-1,66,34,8,100,40,40,-1,-1,-1,60,33,13,.,.,.,.,.,.,63,30,9,70,41,9,34,16,6,61,32,7,52,17,2,.,.,.,.,.,.,75,44,13,66,30,8,65,41,10
003907,CENTRAL ISD,70,41,11,54,22,1,71,41,11,70,41,10,-1,-1,-1,73,51,18,.,.,.,.,.,.,68,39,9,73,42,12,33,11,1,65,33,7,53,21,2,48,26,1,50,27,2,84,47,12,71,42,12,69,35,7
004901,ROCKPORT-FULTON ISD,68,41,15,54,27,6,73,48,19,62,32,10,64,36,0,78,43,11,77,63,46,62,46,15,67,40,14,68,41,15,35,15,3,59,30,10,55,25,7,54,22,8,54,22,8,83,57,19,67,41,15,69,41,16
005901,ARCHER CITY ISD,88,64,30,.,.,.,88,66,32,85,54,22,69,38,19,100,83,43,.,.,.,.,.,.,90,65,32,86,63,29,64,20,6,87,59,28,77,45,19,69,62,15,69,62,15,97,68,32,90,68,32,82,54,25
005902,HOLLIDAY ISD,84,61,26,100,60,0,84,61,26,86,62,21,70,50,10,83,64,31,100,86,71,.,.,.,84,61,25,84,61,27,48,16,3,69,42,13,75,44,10,79,29,0,79,29,0,87,48,13,84,62,25,85,59,27
005904,WINDTHORST ISD,93,71,29,100,100,100,96,76,33,85,52,15,-1,-1,-1,-1,-1,-1,100,100,100,.,.,.,94,69,29,93,71,30,71,29,9,90,60,22,71,24,5,72,28,4,73,31,8,100,13,0,92,68,29,96,76,31
006902,CLAUDE ISD,90,67,31,29,14,0,90,70,33,91,57,21,-1,-1,-1,85,54,38,.,.,.,.,.,.,89,67,31,90,67,31,59,24,2,86,58,21,73,38,5,-1,-1,-1,-1,-1,-1,88,75,25,91,68,34,85,62,23
007901,CHARLOTTE ISD,67,33,9,-1,-1,-1,77,51,16,66,30,8,.,.,.,.,.,.,.,.,.,.,.,.,65,37,10,70,29,9,52,22,10,60,25,5,63,27,6,44,22,2,45,24,2,-1,-1,-1,66,31,8,69,37,12
007902,JOURDANTON ISD,73,47,17,56,31,19,83,57,24,68,41,13,60,0,0,84,62,27,100,86,43,.,.,.,74,47,17,73,47,17,41,15,4,68,38,12,57,29,5,62,27,4,64,31,6,77,61,23,74,47,17,71,46,17
007904,LYTLE ISD,64,30,7,57,21,7,78,45,9,61,27,6,33,22,0,89,64,18,100,69,38,.,.,.,62,28,7,66,32,7,24,4,1,59,24,5,53,16,2,55,22,4,56,23,5,65,34,3,66,32,7,59,27,7
007905,PLEASANTON ISD,67,40,13,67,36,14,74,50,17,64,36,11,100,67,0,85,59,23,87,48,26,.,.,.,65,38,13,70,42,13,38,18,4,61,32,9,49,19,3,63,31,9,64,32,10,66,55,20,67,40,13,68,40,12
007906,POTEET ISD,60,30,7,56,28,6,62,35,15,60,29,6,-1,-1,-1,80,30,0,.,.,.,100,50,0,59,29,6,61,31,8,40,20,6,57,26,5,48,17,2,61,28,3,62,29,5,55,21,7,61,31,8,58,29,6
008901,BELLVILLE ISD,76,49,17,47,16,3,85,60,23,67,36,9,88,63,13,63,39,15,100,85,23,-1,-1,-1,74,46,14,79,52,20,35,10,1,64,33,8,58,20,3,55,20,3,55,20,3,88,55,17,76,49,17,78,51,16
008902,SEALY ISD,72,44,15,58,29,5,83,59,26,68,37,10,63,38,25,67,37,14,97,78,36,67,33,0,68,40,15,76,48,16,43,15,2,63,32,9,53,21,5,56,22,5,58,25,6,80,52,16,73,45,15,68,40,14
008903,BRAZOS ISD,80,51,18,60,36,8,89,65,27,76,43,12,.,.,.,88,56,16,-1,-1,-1,-1,-1,-1,77,50,19,84,53,16,53,26,4,75,41,12,68,31,7,74,35,9,76,40,10,79,45,13,79,49,16,82,55,21
009901,MULESHOE ISD,68,39,13,71,43,43,81,64,30,66,36,10,.,.,.,-1,-1,-1,100,88,63,.,.,.,66,38,13,69,41,13,45,21,7,65,36,11,62,29,5,60,29,6,63,32,8,53,24,9,70,41,13,59,30,9
