Region,Region Name,District,District Name,2004-2005 ADA,2005-2006 ADA,2006-2007 ADA,2007-2008 ADA,2008-2009 ADA,2009-2010 ADA,2010-2011 ADA,2011-2012 ADA,2012-2013 ADA,2013-2014 ADA,2014-2015 ADA,2015-2016 ADA,2016-2017 ADA,2017-2018 ADA,2018-2019 ADA,2019-2020 ADA,2020-2021 ADA,2021-2022 ADA,2022-2023 ADA,2023-2024 ADA
01,REGION I            EDINBURG,024901,BROOKS COUNTY ISD,"1,506.967","1,447.743","1,485.432","1,384.042","1,345.942","1,364.700","1,333.663","1,399.315","1,423.768","1,411.979","1,408.761","1,432.928","1,428.696","1,440.826","1,383.155","1,179.992","1,286.739","1,201.254","1,117.349","1,069.033"
01,REGION I            EDINBURG,031504,UNIVERSITY OF TEXAS AT BROWNSVILLE,0.000,0.000,0.000,27.942,75.000,76.783,75.000,88.544,92.571,86.907,92.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,031505,UNIVERSITY OF TEXAS RIO GRANDE VAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,103.903,162.117,166.921,166.534,198.411,246.671,224.066,198.298,213.166
01,REGION I            EDINBURG,031801,VALLEY HIGH SCHOOL,342.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,031802,EAGLE ACADEMY OF BROWNSVILLE,136.895,0.000,123.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,031803,HARMONY SCIENCE ACADEMY - BROWNSVI,0.000,0.000,0.000,0.000,249.718,357.129,385.990,410.149,419.268,429.470,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,031901,BROWNSVILLE ISD,"43,211.372","44,489.167","44,511.670","44,758.025","44,665.495","45,097.327","45,868.946","45,671.799","45,393.499","45,384.916","44,450.947","43,838.256","43,128.672","41,601.988","40,287.240","36,282.508","37,464.826","34,657.730","33,253.144","32,594.723"
01,REGION I            EDINBURG,031903,HARLINGEN CISD,"15,446.304","15,672.170","15,602.634","15,835.012","16,068.941","16,831.443","17,075.231","17,209.444","17,099.849","17,234.640","17,305.153","17,432.109","17,250.093","16,953.860","17,172.805","15,959.969","16,537.355","15,464.299","15,149.910","14,957.067"
01,REGION I            EDINBURG,031905,LA FERIA ISD,"2,773.193","2,987.547","2,894.392","3,115.202","3,165.368","3,198.003","3,288.790","3,349.376","3,338.341","3,305.080","3,292.528","3,362.876","3,275.765","3,144.700","3,073.156","2,771.216","2,867.305","2,651.329","2,618.920","2,590.107"
01,REGION I            EDINBURG,031906,LOS FRESNOS CISD,"7,464.260","8,189.896","7,837.710","8,412.707","8,616.056","8,910.487","9,199.134","9,503.087","9,563.609","9,710.594","9,806.963","10,046.280","10,002.002","9,903.252","9,864.612","9,327.724","9,692.423","9,386.600","9,261.170","9,287.390"
01,REGION I            EDINBURG,031909,POINT ISABEL ISD,"2,339.712","2,374.255","2,361.990","2,362.441","2,326.592","2,307.281","2,317.438","2,352.078","2,380.676","2,397.916","2,330.392","2,338.188","2,295.109","2,244.544","2,156.145","1,895.893","1,895.451","1,789.783","1,702.240","1,633.221"
01,REGION I            EDINBURG,031911,RIO HONDO ISD,"2,030.823","2,128.231","2,114.816","2,135.765","2,151.658","2,101.584","2,107.697","2,028.468","1,997.781","1,996.013","1,998.473","1,956.812","1,832.398","1,766.517","1,735.391","1,431.886","1,594.254","1,467.462","1,448.750","1,347.939"
01,REGION I            EDINBURG,031912,SAN BENITO CISD,"9,408.122","9,776.962","9,630.163","10,034.777","10,055.437","10,156.309","10,274.964","10,314.546","10,270.030","9,986.939","10,104.788","9,982.371","9,742.657","9,521.405","9,577.589","8,560.167","8,984.361","8,254.405","8,139.415","7,956.791"
01,REGION I            EDINBURG,031913,SANTA MARIA ISD,574.515,584.792,559.766,598.122,600.251,617.314,635.126,614.835,648.504,668.882,660.187,641.286,634.658,624.388,578.443,537.508,559.119,496.622,516.028,490.602
01,REGION I            EDINBURG,031914,SANTA ROSA ISD,"1,146.631","1,117.275","1,116.127","1,114.618","1,133.182","1,112.946","1,111.256","1,102.069","1,106.574","1,093.155","1,064.751","1,057.404","1,038.749","1,033.205","1,027.488",849.168,865.556,788.647,795.120,792.606
01,REGION I            EDINBURG,031916,SOUTH TEXAS ISD,"1,997.041","2,343.134","2,108.991","2,522.567","2,660.015","2,893.917","3,020.129","3,095.486","3,213.220","3,213.289","3,218.546","3,443.425","3,702.129","4,047.570","3,924.325","3,807.465","3,943.996","4,020.083","4,083.130","4,228.620"
01,REGION I            EDINBURG,108801,IGNITE PUBLIC SCHOOLS AND COMMUNIT,647.437,583.858,592.572,720.333,630.657,530.772,473.655,779.400,804.581,728.547,575.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,108802,HORIZON MONTESSORI PUBLIC SCHOOLS,231.816,396.821,284.655,477.348,497.278,569.795,673.829,739.961,796.310,886.479,934.384,"1,018.145","1,068.249","1,069.777","1,053.987",917.065,"1,045.715","1,147.184","1,195.800","1,168.870"
01,REGION I            EDINBURG,108803,FREEDOM SCHOOL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,108804,TRIUMPH PUBLIC HIGH SCHOOLS-RIO GR,196.027,217.024,203.288,223.221,260.964,287.418,327.140,325.333,316.175,305.852,246.007,280.436,311.675,303.365,342.425,392.113,443.094,416.075,434.140,415.388
01,REGION I            EDINBURG,108805,SENTRY TECHNOLOGY PREP SCH,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,108806,EAGLE ACADEMY OF PHARR/MCALLEN,224.320,0.000,229.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,108807,IDEA PUBLIC SCHOOLS,635.452,"1,943.461",873.144,"2,588.076","3,662.067","5,130.109","6,678.643","9,247.618","12,213.381","15,067.166","18,527.349","22,541.149","27,502.320","32,970.428","39,558.521","44,347.131","58,245.595","62,907.627","68,066.570","71,272.346"
01,REGION I            EDINBURG,108808,VANGUARD ACADEMY,195.900,339.980,253.344,399.581,608.790,781.913,"1,007.548","1,210.562","1,552.036","1,959.803","2,176.881","2,239.215","2,687.061","3,076.464","3,764.593","3,888.037","4,557.420","4,752.932","5,187.490","5,711.878"
01,REGION I            EDINBURG,108809,EXCELLENCE IN LEADERSHIP ACADEMY,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,52.363,111.445,164.370,175.614,209.417,208.447,219.833,259.257,276.637,271.148,229.510,190.283
01,REGION I            EDINBURG,108810,BRILLANTE ACADEMY,,,,,,,,,,,,,,,,,,,,103.427
01,REGION I            EDINBURG,108902,DONNA ISD,"11,540.682","12,384.870","11,977.564","12,953.330","13,395.784","13,761.874","13,881.450","13,784.797","13,941.463","14,181.805","14,181.971","14,219.991","13,997.469","13,696.341","13,303.639","11,929.160","12,750.247","11,684.000","11,584.410","11,458.530"
01,REGION I            EDINBURG,108903,EDCOUCH-ELSA ISD,"5,117.978","5,294.163","5,183.933","5,267.566","5,267.567","5,074.837","4,946.835","4,854.329","4,795.144","4,825.274","4,717.098","4,816.758","4,868.332","4,749.957","4,510.837","4,062.096","3,964.496","3,695.601","3,685.050","3,747.590"
01,REGION I            EDINBURG,108904,EDINBURG CISD,"24,614.158","26,992.659","25,737.931","27,933.255","28,720.621","29,752.895","30,835.274","31,048.591","31,276.864","31,718.769","31,931.835","32,300.731","32,050.045","31,648.206","31,376.063","29,285.190","30,273.053","28,669.582","29,334.750","29,212.102"
01,REGION I            EDINBURG,108905,HIDALGO ISD,"2,861.280","2,977.240","2,883.391","2,989.239","3,114.168","3,091.789","3,087.436","2,990.603","2,954.976","2,920.323","2,937.044","2,943.443","2,910.295","2,902.919","2,919.937","2,674.703","2,791.854","2,578.195","2,701.080","2,702.237"
01,REGION I            EDINBURG,108906,MCALLEN ISD,"22,348.709","22,747.348","22,560.100","22,986.096","23,035.993","23,262.385","23,601.675","23,398.909","23,129.773","23,301.927","22,769.772","22,400.273","22,176.644","21,824.565","21,160.763","19,482.257","19,922.956","18,696.938","18,254.940","18,038.323"
01,REGION I            EDINBURG,108907,MERCEDES ISD,"4,928.917","4,962.829","4,890.138","5,080.559","5,104.079","5,168.174","5,292.529","5,335.701","5,291.162","5,381.690","5,327.929","5,270.343","5,057.771","5,008.375","4,834.264","4,084.263","4,292.385","3,955.370","3,886.860","3,764.532"
01,REGION I            EDINBURG,108908,MISSION CISD,"13,508.656","14,244.679","13,772.976","14,460.204","14,319.972","14,284.996","14,510.734","14,398.047","14,209.618","14,125.904","14,147.078","14,349.718","14,359.320","14,211.046","14,081.502","12,942.039","13,615.316","12,269.620","12,463.730","12,814.530"
01,REGION I            EDINBURG,108909,PHARR-SAN JUAN-ALAMO ISD,"24,932.559","26,223.900","25,790.553","27,298.578","28,169.190","28,434.337","28,520.587","28,697.648","29,101.593","29,157.363","29,079.331","30,311.141","30,464.068","31,552.404","31,258.739","30,077.325","28,443.115","26,711.197","27,398.796","27,624.768"
01,REGION I            EDINBURG,108910,PROGRESO ISD,"1,884.951","1,836.313","1,801.834","1,832.539","1,945.021","2,069.200","2,040.900","2,040.825","1,917.726","2,000.358","1,875.918","1,824.262","1,732.660","1,734.387","1,626.879","1,353.956","1,351.286","1,310.005","1,310.070","1,248.222"
01,REGION I            EDINBURG,108911,SHARYLAND ISD,"6,693.414","7,725.080","7,266.557","8,374.515","8,715.559","9,004.410","9,465.477","9,551.758","9,643.743","9,724.843","9,697.727","9,592.198","9,541.968","9,676.174","9,652.367","9,295.484","9,440.951","8,881.746","8,952.630","8,962.983"
01,REGION I            EDINBURG,108912,LA JOYA ISD,"21,102.331","22,780.791","22,259.674","23,712.580","24,465.163","25,149.338","25,782.767","26,131.671","26,253.208","26,707.569","26,774.308","26,816.365","26,610.128","26,149.848","25,437.784","22,652.026","24,393.172","21,356.638","21,355.870","20,713.547"
01,REGION I            EDINBURG,108913,WESLACO ISD,"14,487.380","14,935.928","14,709.602","15,285.638","15,547.919","16,095.080","16,426.579","16,389.671","16,409.464","16,421.574","16,055.696","16,332.673","16,096.385","15,905.911","15,826.018","15,001.025","15,113.004","14,042.712","14,419.840","14,524.425"
01,REGION I            EDINBURG,108914,LA VILLA ISD,629.736,576.412,609.647,556.229,552.131,545.691,579.620,568.665,596.326,587.868,575.794,561.059,557.401,537.103,520.315,515.374,537.546,489.931,495.220,474.146
01,REGION I            EDINBURG,108915,MONTE ALTO ISD,515.890,567.429,524.707,613.243,639.304,754.940,867.818,893.477,984.239,956.470,975.371,999.197,985.294,934.733,875.645,783.065,823.652,792.486,782.550,732.613
01,REGION I            EDINBURG,108916,VALLEY VIEW ISD,"3,130.663","3,819.499","3,582.158","4,064.830","4,206.939","4,299.240","4,375.140","4,392.982","4,407.700","4,304.162","4,216.418","4,198.842","4,169.192","4,138.149","4,097.490","3,812.336","3,832.516","3,529.343","3,340.920","3,156.636"
01,REGION I            EDINBURG,108917,EVINS REGIONAL JUVENILE CENTER,216.000,176.883,228.000,170.680,146.540,105.569,97.689,127.567,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,108950,REG I EDUCATION SERVICE CENTER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
01,REGION I            EDINBURG,124901,JIM HOGG COUNTY ISD,"1,028.364",983.931,"1,004.332",994.204,"1,008.824","1,007.619","1,027.183","1,005.870","1,013.671","1,001.785","1,035.079","1,038.583","1,060.152","1,050.326","1,054.434",993.693,"1,038.796",991.156,963.762,888.722
01,REGION I            EDINBURG,214901,RIO GRANDE CITY GRULLA ISD,"8,976.819","9,240.976","9,127.427","9,326.826","9,455.161","9,618.559","9,888.611","9,950.257","9,952.469","9,999.514","9,958.568","10,095.578","10,040.223","9,731.271","9,486.647","8,577.093","9,307.296","8,171.346","8,668.730","8,527.442"
01,REGION I            EDINBURG,214902,SAN ISIDRO ISD,236.424,247.961,237.386,258.325,254.951,254.362,257.720,265.419,242.055,242.606,224.218,226.726,226.257,218.325,207.363,175.146,189.615,181.790,175.390,158.476
01,REGION I            EDINBURG,214903,ROMA ISD,"5,767.539","5,946.876","5,911.101","5,867.502","5,773.482","5,799.392","6,103.918","6,096.945","5,991.844","5,980.394","5,952.340","6,013.626","5,989.718","5,845.098","5,753.229","5,156.175","5,648.178","5,271.731","5,462.944","5,435.652"
01,REGION I            EDINBURG,240503,TEXAS A&M INTERNATIONAL UNIVERSITY,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.806,91.163,100.663,98.455,83.327,97.731,98.720,78.773,73.861,83.384
01,REGION I            EDINBURG,240801,TRIUMPH PUBLIC HIGH SCHOOLS CENTRA,275.312,323.340,298.090,341.146,452.864,440.505,440.871,432.478,383.766,356.486,294.044,298.064,313.105,260.471,249.824,186.690,197.616,154.427,181.040,215.558
01,REGION I            EDINBURG,240802,EAGLE ACADEMY OF LAREDO,79.750,0.000,90.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,240803,SCAN CHARTER SCHOOL,6.251,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,240804,HARMONY SCIENCE ACADEMY - LAREDO,0.000,0.000,0.000,0.000,329.166,548.835,602.552,637.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,240901,LAREDO ISD,"22,533.327","22,473.475","22,554.065","22,701.242","22,649.367","22,346.454","22,494.175","22,530.109","22,451.888","22,546.383","22,358.239","22,093.749","21,961.299","21,756.386","21,422.354","19,483.716","20,347.017","18,018.255","18,665.140","18,376.686"
01,REGION I            EDINBURG,240902,MIRANDO CITY ISD,41.827,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,240903,UNITED ISD,"31,464.025","34,834.870","33,162.513","36,101.498","37,136.016","37,810.818","38,838.954","39,091.631","39,671.285","40,136.174","40,372.769","40,512.248","40,587.753","40,321.082","40,364.396","38,529.558","39,745.132","36,636.045","37,618.400","37,715.478"
01,REGION I            EDINBURG,240904,WEBB CISD,301.620,343.099,352.258,328.685,319.436,310.595,309.334,324.274,316.702,301.735,289.869,299.475,275.439,252.538,238.018,217.988,242.701,232.094,212.880,226.104
01,REGION I            EDINBURG,245801,CHILDREN OF THE SUN CHARTER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
01,REGION I            EDINBURG,245901,LASARA ISD,306.096,308.188,296.332,361.717,395.004,419.121,436.599,432.967,459.743,456.477,438.282,426.731,414.202,375.752,340.041,267.156,283.343,291.519,301.550,297.215
