District Number,District,Campus Number,Campus,Region,County,2025 Overall Rating,2025 Overall Score,2024 Overall Rating,2024 Overall Score,2023 Overall Rating,2023 Overall Score,2022 Overall Rating,2022 Overall Score,2021 Overall Rating,2021 Overall Score,2020 Overall Rating,2020 Overall Score,2019 Overall Rating,2019 Overall Score,2018 Overall Rating,2018 Overall Score,2017 Overall Rating,2016 Overall Rating,2015 Overall Rating,2014 Overall Rating,2013 Overall Rating,2012 Overall Rating,2011 Overall Rating
001902,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,B,88,B,85,B,87,A,94,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,A,94,B,84,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
001902,CAYUGA ISD,001902001,CAYUGA H S,REGION 07: KILGORE,ANDERSON,A,96,A,96,A,97,A,96,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,A,95,Met Standard,87,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,A,91,B,86,B,85,B,84,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,B,83,Met Standard,75,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
001902,CAYUGA ISD,001902103,CAYUGA EL,REGION 07: KILGORE,ANDERSON,B,81,D,69,C,75,A,91,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,A,91,Met Standard,87,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Exemplary
001903,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,B,85,B,80,B,83,A,91,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,A,90,B,80,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
001903,ELKHART ISD,001903001,ELKHART H S,REGION 07: KILGORE,ANDERSON,A,92,B,84,A,92,B,89,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,B,89,Met Standard,82,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
001903,ELKHART ISD,001903041,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,B,85,C,77,B,83,B,83,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,B,86,Met Standard,79,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
001903,ELKHART ISD,001903101,ELKHART EL,REGION 07: KILGORE,ANDERSON,C,76,B,80,C,77,A,91,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,A,92,Met Standard,86,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Recognized
001903,ELKHART ISD,001903102,ELKHART INT,REGION 07: KILGORE,ANDERSON,C,76,B,80,C,77,A,91,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,A,92,Met Standard,86,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,
001904,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,B,87,B,86,B,88,A,92,Not Rated: Declared State of Disaster,.,Not Rated: Declared State of Disaster,.,B,89,B,81,Met Standard,Met Standard,Met Standard,Met Standard,Met Standard,n/a,Academically Acceptable
