DISTRICT,DD000A001223R,DD000A001323R,DD000A001S23R,DD200A001223R,DD200A001323R,DD200A001S23R,DD300A001223R,DD300A001323R,DD300A001S23R,DD400A001223R,DD400A001323R,DD400A001S23R,DDA00A001223R,DDA00A001323R,DDA00A001S23R,DDB00A001223R,DDB00A001323R,DDB00A001S23R,DDE00A001223R,DDE00A001323R,DDE00A001S23R,DDF00A001223R,DDF00A001323R,DDF00A001S23R,DDH00A001223R,DDH00A001323R,DDH00A001S23R,DDI00A001223R,DDI00A001323R,DDI00A001S23R,DDL00A001223R,DDL00A001323R,DDL00A001S23R,DDM00A001223R,DDM00A001323R,DDM00A001S23R,DDR00A001223R,DDR00A001323R,DDR00A001S23R,DDS00A001223R,DDS00A001323R,DDS00A001S23R,DDW00A001223R,DDW00A001323R,DDW00A001S23R,DISTNAME,DNC00A001223R,DNC00A001323R,DNC00A001S23R,DNM00A001223R,DNM00A001323R,DNM00A001S23R,DNS00A001223R,DNS00A001323R,DNS00A001S23R
"'001902",43,0,71,60,14,86,-1,-1,-1,.,.,.,61,23,86,43,7,67,54,16,82,63,24,87,55,20,83,.,.,.,43,0,71,59,23,84,41,11,75,17,3,47,63,25,87,"CAYUGA ISD",66,27,89,50,16,79,50,0,88
"'001903",31,7,84,48,18,80,71,43,100,-1,-1,-1,55,21,84,23,3,45,41,15,73,60,24,87,47,17,81,80,60,100,30,6,83,51,18,81,25,4,68,17,4,43,58,22,86,"ELKHART ISD",57,21,84,51,21,84,46,17,87
"'001904",38,14,73,44,19,85,62,23,100,.,.,.,56,21,84,45,10,80,49,15,80,56,21,86,51,15,74,71,14,100,34,10,71,56,21,83,32,7,72,25,10,56,58,23,86,"FRANKSTON ISD",56,22,84,56,19,85,48,15,70
"'001906",60,7,93,67,11,100,-1,-1,-1,.,.,.,60,18,88,41,5,78,50,9,84,64,16,90,58,18,89,-1,-1,-1,60,7,93,57,20,85,39,3,75,14,0,62,63,20,88,"NECHES ISD",63,21,90,55,12,83,89,33,100
"'001907",33,7,68,43,17,72,89,32,96,20,0,60,41,13,73,26,6,60,36,9,69,42,13,75,41,11,73,17,0,58,29,5,65,41,12,71,26,4,62,21,5,45,55,20,83,"PALESTINE ISD",41,12,71,44,13,76,43,12,77
"'001908",19,4,53,35,13,65,64,27,91,.,.,.,37,12,69,25,7,59,33,11,65,39,13,69,33,9,66,.,.,.,19,4,52,36,12,69,24,4,58,20,8,41,47,17,76,"WESTWOOD ISD",39,12,71,33,13,64,34,9,68
"'001909",57,43,71,40,20,67,.,.,.,.,.,.,61,24,86,.,.,.,50,18,81,64,24,90,54,29,76,.,.,.,-1,-1,-1,58,25,82,43,9,75,27,7,58,63,24,88,"SLOCUM ISD",61,26,87,61,20,85,54,31,92
"'002901",27,5,61,58,26,82,89,50,94,.,.,.,45,16,76,48,10,77,34,9,68,46,16,76,40,12,72,52,14,86,23,4,58,45,16,76,26,5,62,17,5,43,57,24,85,"ANDREWS ISD",46,16,76,42,14,74,48,14,83
"'003801",20,3,59,38,11,68,75,50,90,-1,-1,-1,53,22,81,36,12,71,47,16,77,54,23,82,44,12,77,100,40,100,15,2,54,52,22,81,27,5,66,15,2,45,65,32,88,"PINEYWOODS COMMUNITY ACADEMY",55,23,82,48,20,77,65,35,88
"'003902",45,16,79,59,16,81,76,36,95,-1,-1,-1,61,24,87,39,12,76,50,16,80,62,25,88,53,19,83,40,7,80,42,14,77,60,24,85,38,9,76,25,7,57,67,28,89,"HUDSON ISD",61,25,87,60,22,85,65,25,93
"'003903",31,9,64,45,16,72,80,58,92,14,0,14,43,16,72,29,9,61,38,13,68,44,17,74,41,13,71,20,20,60,28,7,62,42,16,69,29,7,63,23,8,44,64,31,86,"LUFKIN ISD",44,17,72,40,16,69,47,17,78
"'003904",28,2,68,50,14,82,60,20,100,-1,-1,-1,47,17,78,45,14,77,40,11,73,48,18,79,49,15,78,0,0,29,28,2,68,46,15,76,23,4,59,20,4,49,47,17,78,"HUNTINGTON ISD",49,17,78,44,16,77,31,9,78
